"prevalence","meanMOIvar","meanPTS","meanPTSGroupBC","inverseSimpsonIndex","inverseSimpsonIndexBC","instance"
0.307,3.02886354002446,0.0883658833905927,0.0739216811698627,1246.34293858267,1222.49895670541,192
0.4405,5.25434497721085,0.00986505370585665,0.00724203729562206,18883.4931297812,19716.2444903511,193
0.3895,5.25178511585035,0.0522794998028357,0.0474588607454266,3779.11086191134,3395.27983484204,194
0.3405,5.68067498411179,0.0455790572604994,0.0419245006444655,4667.45566590713,4089.6975147307,195
0.277,1.68678473688253,0.00922922509500831,0.00456831159912115,5838.61768688061,7920.67881576168,196
0.4225,5.1315322806267,0.0122111393294271,0.00978424405859316,15226.0085540793,14856.4725266194,197
0.4165,5.19611737061894,0.0338103347746442,0.0301624588882561,5787.42202728209,5239.40493054021,198
0.4135,4.81624144466599,0.00891663691756432,0.00581335886095896,18739.677502052,21498.0122248677,199
0.4435,5.96364100592766,0.0321982901101849,0.0260131895107032,6993.74648593027,6931.49103117766,200
0.3995,3.9408818007301,0.0149406924588193,0.00891786124877829,9502.35141973626,12187.3840675059,201
0.36,3.83515751149102,0.0135679857243253,0.00916278530202793,9999.45389039639,11222.3713431039,202
0.4005,4.95773792980873,0.0636674552945247,0.0622606145618634,2935.38368963019,2412.24960469245,203
0.149,3.95616116469415,0.031991744942269,0.0268616536694963,4404.35688065401,4169.51224872845,204
0.2955,1.88036893289216,0.0101322703857177,0.00729233301712602,6005.59042701047,6249.53581306274,205
0.306,3.47897117789753,0.0569483997359056,0.0511109720398283,2237.03361273029,2022.01414603585,206
0.3655,5.35796371329155,0.0239183006240723,0.0202845893413081,8369.94593641995,7849.63504131577,207
0.4675,8.96166171302789,0.115821369867245,0.0655594309986853,2088.04614488893,4260.63127834005,208
0.2735,4.20446839345012,0.0378865654336536,0.0326983779048619,4092.93996915094,3856.50972324531,209
0.296,3.96928416056043,0.0373129782789629,0.0352578857252342,3905.51648374224,3313.12507951083,210
0.366,4.52413545878772,0.0588933665439418,0.0446184127094332,2839.1094855277,3128.86664613769,211
0.2075,4.5518504217175,0.0814713482240124,0.0656170555831176,2091.97042281941,2170.33366634324,212
0.376,5.0034924116737,0.00755347914694294,0.0066078262770328,21970.8128759842,19569.7364869545,213
0.476,8.41147531997323,0.0209333742215728,0.0116187818657117,15004.8234528724,21158.1752965317,214
0.3625,4.09169376076627,0.0386929995858327,0.033922250343604,3944.25924242464,3605.09458887866,215
0.421,6.07561428688603,0.0597078321585198,0.0435277686349572,3633.34373280502,4315.726119493,216
0.4215,9.18689575358432,0.0306261868990097,0.0276723523956737,11420.7995361831,10047.8521083667,217
